title,year,venue,cited_by,type,arxiv,doi,authors,abstract,topical,have
Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,2023,,232,article,,10.1145/3544548.3580688,"Perttu Hämäläinen, Mikke Tavast, Anton Kunnari","Collecting data is one of the bottlenecks of Human-Computer Interaction (HCI) research. Motivated by this, we explore the potential of large language models (LLMs) in generating synthetic user research data. We use OpenAI’s GPT-3 model to generate open-ended questionnaire responses about experiencing video games as art, a topic not tractable with traditional computational user models. We test whether synthetic responses can be distinguished from real responses, analyze errors of synthetic data, ",True,False
Large Language Models Can Self-Improve,2023,,186,article,,10.18653/v1/2023.emnlp-main.67,"Jiaxin Huang, Shixiang Gu, Le Hou et al.","Large Language Models (LLMs) have achieved excellent performances in various tasks. However, fine-tuning an LLM requires extensive supervision. Human, on the other hand, may improve their reasoning abilities by self-thinking without external inputs. In this work, we demonstrate that an LLM is also capable of self-improving with only unlabeled datasets. We use a pre-trained LLM to generate “high-confidence” rationale-augmented answers for unlabeled questions using Chain-of-Though (CoT) prompting ",True,False
Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference,2024,arXiv (Cornell University),97,preprint,2403.04132,10.4230/lipics.cp.2024.25,"Régin, Florian, De Maria, Elisabetta, Bonlarron, Alexandre","Constraint Programming (CP) and Machine Learning (ML) face challenges in text generation due to CP’s struggle with implementing ""meaning"" and ML’s difficulty with structural constraints. This paper proposes a solution by combining both approaches and embedding a Large Language Model (LLM) in CP. The LLM handles word generation and meaning, while CP manages structural constraints. This approach builds on GenCP, an improved version of On-the-fly Constraint Programming Search (OTFS) using LLM-gener",True,False
LLM-Eval: Unified Multi-Dimensional Automatic Evaluation for Open-Domain Conversations with Large Language Models,2023,,70,article,,10.18653/v1/2023.nlp4convai-1.5,"Yen‐Ting Lin, Yun-Nung Chen","We propose LLM-Eval, a unified multi-dimensional automatic evaluation method for open-domain conversations with large language models (LLMs). Existing evaluation methods often rely on human annotations, ground-truth responses, or multiple LLM prompts, which can be expensive and time-consuming. To address these issues, we design a single prompt-based evaluation method that leverages a unified evaluation schema to cover multiple dimensions of conversation quality in a single model call. We extensi",True,False
RLAIF vs. RLHF: Scaling Reinforcement Learning from Human Feedback with AI Feedback,2023,arXiv (Cornell University),67,preprint,2309.00267,10.48550/arxiv.2309.00267,"Harrison Lee, Samrat Phatale, Hassan Mansoor et al.","Reinforcement learning from human feedback (RLHF) has proven effective in aligning large language models (LLMs) with human preferences, but gathering high-quality preference labels is expensive. RL from AI Feedback (RLAIF), introduced in Bai et al., offers a promising alternative that trains the reward model (RM) on preferences generated by an off-the-shelf LLM. Across the tasks of summarization, helpful dialogue generation, and harmless dialogue generation, we show that RLAIF achieves comparabl",True,False
Can ChatGPT Reproduce Human-Generated Labels? A Study of Social Computing Tasks,2023,arXiv (Cornell University),65,preprint,2304.10145,10.48550/arxiv.2304.10145,"Yiming Zhu, Peixian Zhang, Ehsan-Ul Haq et al.","The release of ChatGPT has uncovered a range of possibilities whereby large language models (LLMs) can substitute human intelligence. In this paper, we seek to understand whether ChatGPT has the potential to reproduce human-generated label annotations in social computing tasks. Such an achievement could significantly reduce the cost and complexity of social computing research. As such, we use ChatGPT to relabel five seminal datasets covering stance detection (2x), sentiment analysis, hate speech",True,False
Generating Automatic Feedback on UI Mockups with Large Language Models,2024,,61,preprint,2403.13139,10.1145/3613904.3642782,"Peitong Duan, Jeremy Warner, Yang Li et al.","Feedback on user interface (UI) mockups is crucial in design. However, human feedback is not always readily available. We explore the potential of using large language models for automatic feedback. Specifically, we focus on applying GPT-4 to automate heuristic evaluation, which currently entails a human expert assessing a UI’s compliance with a set of design guidelines. We implemented a Figma plugin that takes in a UI design and a set of written heuristics, and renders automatically-generated f",True,False
ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,2023,arXiv (Cornell University),54,preprint,2308.07201,10.48550/arxiv.2308.07201,"Chi-Min Chan, Weize Chen, Yusheng Su et al.","Text evaluation has historically posed significant challenges, often demanding substantial labor and time cost. With the emergence of large language models (LLMs), researchers have explored LLMs' potential as alternatives for human evaluation. While these single-agent-based approaches show promise, experimental results suggest that further advancements are needed to bridge the gap between their current effectiveness and human-level evaluation quality. Recognizing that best practices of human eva",True,False
Deus Ex Machina and Personas from Large Language Models: Investigating the Composition of AI-Generated Persona Descriptions,2024,,45,article,,10.1145/3613904.3642036,"Joni Salminen, Chang Liu, Wenjing Pian et al.","Large language models (LLMs) can generate personas based on prompts that describe the target user group. To understand what kind of personas LLMs generate, we investigate the diversity and bias in 450 LLM-generated personas with the help of internal evaluators (n=4) and subject-matter experts (SMEs) (n=5). The research findings reveal biases in LLM-generated personas, particularly in age, occupation, and pain points, as well as a strong bias towards personas from the United States. Human evaluat",True,False
Can LLMs Generate Novel Research Ideas? A Large-Scale Human Study with 100+ NLP Researchers,2024,arXiv (Cornell University),41,preprint,2409.04109,10.48550/arxiv.2409.04109,"Chenglei Si, Diyi Yang, Tatsunori Hashimoto","Recent advancements in large language models (LLMs) have sparked optimism about their potential to accelerate scientific discovery, with a growing number of works proposing research agents that autonomously generate and validate new ideas. Despite this, no evaluations have shown that LLM systems can take the very first step of producing novel, expert-level ideas, let alone perform the entire research process. We address this by establishing an experimental design that evaluates research idea gen",True,False
EvaluLLM: LLM assisted evaluation of generative outputs,2024,,30,article,,10.1145/3640544.3645216,"Michael Desmond, Zahra Ashktorab, Qian Pan et al.","With the rapid improvement in large language model (LLM) capabilities, its becoming more difficult to measure the quality of outputs generated by natural language generation (NLG) systems. Conventional metrics such as BLEU and ROUGE are bound to reference data, and are generally unsuitable for tasks that require creative or diverse outputs. Human evaluation is an option, but manually evaluating generated text is difficult to do well, and expensive to scale and repeat as requirements and quality ",True,False
"LLM-Rubric: A Multidimensional, Calibrated Approach to Automated Evaluation of Natural Language Texts",2024,,28,preprint,2501.00274,10.18653/v1/2024.acl-long.745,"Helia Hashemi, Jason Eisner, Corby Rosset et al.","This paper introduces a framework for the automated evaluation of natural language texts.A manually constructed rubric describes how to assess multiple dimensions of interest.To evaluate a text, a large language model (LLM) is prompted with each rubric question and produces a distribution over potential responses.The LLM predictions often fail to agree well with human judges-indeed, the humans do not fully agree with one another.However, the multiple LLM distributions can be combined to predict ",True,False
Quantifying the Persona Effect in LLM Simulations,2024,,23,article,,10.18653/v1/2024.acl-long.554,"Tiancheng Hu, Nigel Collier","Large language models (LLMs) have shown remarkable promise in simulating human language and behavior.This study investigates how integrating persona variables-demographic, social, and behavioral factors-impacts LLMs' ability to simulate diverse perspectives.We find that persona variables account for <10% variance in annotations in existing subjective NLP datasets.Nonetheless, incorporating persona variables via prompting in LLMs provides modest but statistically significant improvements.Persona ",True,False
Scalable 3D Captioning with Pretrained Models,2023,arXiv (Cornell University),21,preprint,2306.07279,10.48550/arxiv.2306.07279,"Tiange Luo, Chris Rockwell, Honglak Lee et al.","We introduce Cap3D, an automatic approach for generating descriptive text for 3D objects. This approach utilizes pretrained models from image captioning, image-text alignment, and LLM to consolidate captions from multiple views of a 3D asset, completely side-stepping the time-consuming and costly process of manual annotation. We apply Cap3D to the recently introduced large-scale 3D dataset, Objaverse, resulting in 660k 3D-text pairs. Our evaluation, conducted using 41k human annotations from the",True,False
The Next Chapter: A Study of Large Language Models in Storytelling,2023,,19,article,,10.18653/v1/2023.inlg-main.23,"Zhuohan Xie, Trevor Cohn, Jey Han Lau","To enhance the quality of generated stories, recent story generation models have been investigating the utilization of higher-level attributes like plots or commonsense knowledge. The application of prompt-based learning with large language models (LLMs), exemplified by GPT-3, has exhibited remarkable performance in diverse natural language processing (NLP) tasks. This paper conducts a comprehensive investigation, utilizing both automatic and human evaluation, to compare the story generation cap",True,False
ChatGPT vs. Crowdsourcing vs. Experts: Annotating Open-Domain Conversations with Speech Functions,2023,,17,article,,10.18653/v1/2023.sigdial-1.23,"Lidiia Ostyakova, Veronika Smilga, Kseniia Petukhova et al.","This paper deals with the task of annotating open-domain conversations with speech functions. We propose a semi-automated method for annotating dialogs following the topic-oriented, multi-layered taxonomy of speech functions with the use of hierarchical guidelines using Large Language Models. These guidelines comprise simple questions about the topic and speaker change, sentence types, pragmatic aspects of the utterance, and examples that aid untrained annotators in understanding the taxonomy. W",True,False
"Prompt-dependent performance of multimodal AI model in oral diagnosis: a comprehensive analysis of accuracy, narrative quality, calibration, and latency versus human experts",2025,Scientific Reports,17,article,,10.1038/s41598-025-22979-z,"Fatma E. A. Hassanein, Yousra Ahmed, Shaymaa Maher et al.","Prompt design is a critical yet underexplored factor influencing the diagnostic performance of large language models (LLMs). Gemini Pro 2.5 shows promise in multimodal reasoning, but no prior study has systematically compared prompt structures in oral datasets against expert benchmarks. This study aimed to evaluate the diagnostic performance of a multimodal LLM (Gemini Pro 2.5) under different prompting strategies compared with oral medicine experts using prospective, histopathology-verified cli",True,False
MEGAnno+: A Human-LLM Collaborative Annotation System,2024,,16,article,,10.18653/v1/2024.eacl-demo.18,"Hannah Kim, Kushan Mitra, Rafael Li Chen et al.","Hannah Kim, Kushan Mitra, Rafael Li Chen, Sajjadur Rahman, Dan Zhang. Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics: System Demonstrations. 2024.",True,False
Understanding the Effects of RLHF on LLM Generalisation and Diversity,2023,arXiv (Cornell University),14,preprint,2310.06452,10.48550/arxiv.2310.06452,"Robert Kirk, Ishita Mediratta, Christoforos Nalmpantis et al.","Large language models (LLMs) fine-tuned with reinforcement learning from human feedback (RLHF) have been used in some of the most widely deployed AI models to date, such as OpenAI's ChatGPT or Anthropic's Claude. While there has been significant work developing these methods, our understanding of the benefits and downsides of each stage in RLHF is still limited. To fill this gap, we present an extensive analysis of how each stage of the process (i.e. supervised fine-tuning (SFT), reward modellin",True,False
Properties and Challenges of LLM-Generated Explanations,2024,,14,article,,10.18653/v1/2024.hcinlp-1.2,"Jenny Kunz, Marco Kuhlmann","The self-rationalising capabilities of large language models (LLMs) have been explored in restricted settings, using task-specific data sets.However, current LLMs do not (only) rely on specifically annotated data; nonetheless, they frequently explain their outputs.The properties of the generated explanations are influenced by the pre-training corpus and by the target data used for instruction fine-tuning.As the pre-training corpus includes a large amount of human-written explanations “in the wil",True,False
AFaCTA: Assisting the Annotation of Factual Claim Detection with Reliable LLM Annotators,2024,,11,article,,10.18653/v1/2024.acl-long.104,"Jingwei Ni, Minjing Shi, Dominik Stammbach et al.","Jingwei Ni, Minjing Shi, Dominik Stammbach, Mrinmaya Sachan, Elliott Ash, Markus Leippold. Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers). 2024.",True,False
Towards Human-AI Deliberation: Design and Evaluation of LLM-Empowered Deliberative AI for AI-Assisted Decision-Making,2024,arXiv (Cornell University),9,preprint,2403.16812,10.48550/arxiv.2403.16812,"Shuai Ma, Qiaoyi Chen, Xinru Wang et al.","In AI-assisted decision-making, humans often passively review AI's suggestion and decide whether to accept or reject it as a whole. In such a paradigm, humans are found to rarely trigger analytical thinking and face difficulties in communicating the nuances of conflicting opinions to the AI when disagreements occur. To tackle this challenge, we propose Human-AI Deliberation, a novel framework to promote human reflection and discussion on conflicting human-AI opinions in decision-making. Based on",True,False
Evaluating the Evaluator: Measuring LLMs’ Adherence to Task Evaluation Instructions,2025,Proceedings of the AAAI Conference on Artificial Intelligence,8,article,,10.1609/aaai.v39i18.34157,"Bhuvanashree Murugadoss, Christian Poelitz, Ian Drosos et al.","LLMs-as-a-judge is a recently popularized method which replaces human judgements in task evaluation with automatic evaluation using LLMs. Due to widespread use of RLHF (Reinforcement Learning from Human Feedback), state-of-the-art LLMs like GPT4 and Llama3 are expected to have strong alignment with human preferences when prompted for a quality judgement, such as the coherence of a text. While this seems beneficial, it is not clear whether the assessments by an LLM-as-a-judge constitute only an e",True,False
SedarEval: Automated Evaluation using Self-Adaptive Rubrics,2024,,7,article,,10.18653/v1/2024.findings-emnlp.984,"Zhiyuan Fan, Weinong Wang, Xing Wu et al.","The evaluation paradigm of LLM-as-judge gains popularity due to its significant reduction in human labor and time costs.This approach utilizes one or more large language models (LLMs) to assess the quality of outputs from other LLMs.However, existing methods rely on generic scoring rubrics that fail to consider the specificities of each question and its problem-solving process, compromising precision and stability in assessments.Inspired by human examination scoring processes, we propose a new e",True,False
The Promises and Pitfalls of LLM Annotations in Dataset Labeling: a Case Study on Media Bias Detection,2025,,5,article,,10.18653/v1/2025.findings-naacl.75,"Tomáš Horych, Christoph Mandl, Terry Ruas et al.","High annotation costs from hiring or crowdsourcing complicate the creation of large, highquality datasets needed for training reliable text classifiers.Recent research suggests using Large Language Models (LLMs) to automate the annotation process, reducing these costs while maintaining data quality.LLMs have shown promising results in annotating downstream tasks like hate speech detection and political framing.Building on the success in these areas, this study investigates whether LLMs are viabl",True,False
Re-evaluating Automatic LLM System Ranking for Alignment with Human Preference,2025,,4,article,,10.18653/v1/2025.findings-naacl.260,"Mingqi Gao, Yixin Liu, Xinyu Hu et al.","Evaluating and ranking the capabilities of different LLMs is crucial for understanding their performance and alignment with human preferences.Due to the high cost and timeconsuming nature of human evaluations, an automatic LLM bencher (i.e., an automatic evaluation framework that aims to rank LLMs based on their alignment with human preferences) is indispensable.An automatic LLM bencher consists of four components: the input set (e.g., a user instruction), the evaluation model (e.g., an LLM), th",True,False
Trust or Escalate: LLM Judges with Provable Guarantees for Human Agreement,2024,arXiv (Cornell University),3,preprint,2407.18370,10.48550/arxiv.2407.18370,"Jaehun Jung, Faeze Brahman, Yejin Choi","We present a principled approach to provide LLM-based evaluation with a rigorous guarantee of human agreement. We first propose that a reliable evaluation method should not uncritically rely on model preferences for pairwise evaluation, but rather assess the confidence of judge models and selectively decide when to trust its judgement. We then show that under this selective evaluation framework, human agreement can be provably guaranteed -- such that the model evaluation aligns with that of huma",True,False
DMoERM: Recipes of Mixture-of-Experts for Effective Reward Modeling,2024,,3,article,,10.18653/v1/2024.findings-acl.418,Shanghaoran Quan,"The performance of the reward model (RM) is a critical factor in improving the effectiveness of the large language model (LLM) during alignment fine-tuning.There remain two challenges in RM training: 1) training the same RM using various categories of data may cause its generalization performance to suffer from multi-task disturbance, and 2) the human annotation consistency rate is generally only 60% to 75%, causing training data to contain a lot of noise.To tackle these two challenges, we intro",True,False
RLHF Workflow: From Reward Modeling to Online RLHF,2024,arXiv (Cornell University),3,preprint,2405.07863,10.48550/arxiv.2405.07863,"Hanze Dong, Wei Xiong, Bo Pang et al.","We present the workflow of Online Iterative Reinforcement Learning from Human Feedback (RLHF) in this technical report, which is widely reported to outperform its offline counterpart by a large margin in the recent large language model (LLM) literature. However, existing open-source RLHF projects are still largely confined to the offline learning setting. In this technical report, we aim to fill in this gap and provide a detailed recipe that is easy to reproduce for online iterative RLHF. In par",True,False
Preference Leakage: A Contamination Problem in LLM-as-a-judge,2025,arXiv (Cornell University),2,preprint,2502.01534,10.48550/arxiv.2502.01534,"Dawei Li, Renliang Sun, Yi Huang et al.","Large Language Models (LLMs) as judges and LLM-based data synthesis have emerged as two fundamental LLM-driven data annotation methods in model development. While their combination significantly enhances the efficiency of model training and evaluation, little attention has been given to the potential contamination brought by this new model development paradigm. In this work, we expose preference leakage, a contamination problem in LLM-as-a-judge caused by the relatedness between the synthetic da",True,False
An Empirical Study of LLM-as-a-Judge: How Design Choices Impact Evaluation Reliability,2025,ArXiv.org,2,preprint,2506.13639,10.48550/arxiv.2506.13639,"Yamauchi, Yusuke, Taro Yano, M. Oyamada","As large language models (LLMs) continue to advance, reliable evaluation methods are essential particularly for open-ended, instruction-following tasks. LLM-as-a-Judge enables automatic evaluation using LLMs as evaluators, but its reliability remains uncertain. In this work, we analyze key factors affecting its trustworthiness, focusing on alignment with human judgments and evaluation consistency. Using BIGGENBench and EvalBiasBench, we study the effects of evaluation design, decoding strategies",True,False
The Perfect Blend: Redefining RLHF with Mixture of Judges,2024,arXiv (Cornell University),2,preprint,2409.20370,10.48550/arxiv.2409.20370,"T. Xu, Eryk Helenowski, Karthik Abinav Sankararaman et al.","Reinforcement learning from human feedback (RLHF) has become the leading approach for fine-tuning large language models (LLM). However, RLHF has limitations in multi-task learning (MTL) due to challenges of reward hacking and extreme multi-objective optimization (i.e., trade-off of multiple and/or sometimes conflicting objectives). Applying RLHF for MTL currently requires careful tuning of the weights for reward model and data combinations. This is often done via human intuition and does not gen",True,False
