title,year,venue,cited_by,arxiv,doi,authors,source,axk,doik,tk,key,in_corpus
"Comparing scientific abstracts generated by ChatGPT to original abstracts using an artificial intelligence output detector, plagiarism detector, and blinded human reviewers",2022,bioRxiv (Cold Spring Harbor Laboratory),412,,10.1101/2022.12.23.521610,"Catherine A. Gao, Frederick M. Howard, Nikolay S. Markov et al.",OA,,10.1101/2022.12.23.521610,comparingscientificabstractsgeneratedbychatgpttoorigina,10.1101/2022.12.23.521610,False
Assessing the Utility of ChatGPT Throughout the Entire Clinical Workflow: Development and Usability Study,2023,Journal of Medical Internet Research,385,,10.2196/48659,"Arya Rao, Michael Pang, John Kim et al.",OA,,10.2196/48659,assessingtheutilityofchatgptthroughouttheentireclinical,10.2196/48659,False
Large language models could change the future of behavioral healthcare: a proposal for responsible development and evaluation,2024,npj Mental Health Research,265,,10.1038/s44184-024-00056-z,"Elizabeth Cameron Stade, Shannon Wiltsey Stirman, Lyle Ungar et al.",OA,,10.1038/s44184-024-00056-z,largelanguagemodelscouldchangethefutureofbehavioralheal,10.1038/s44184-024-00056-z,False
Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,2023,,232,,10.1145/3544548.3580688,"Perttu Hämäläinen, Mikke Tavast, Anton Kunnari",OA,,10.1145/3544548.3580688,evaluatinglargelanguagemodelsingeneratingsynthetichcire,10.1145/3544548.3580688,False
Integrated image-based deep learning and language models for primary diabetes care,2024,Nature Medicine,195,,10.1038/s41591-024-03139-8,"Jiajia Li, Zhouyu Guan, Jing Wang et al.",OA,,10.1038/s41591-024-03139-8,integratedimagebaseddeeplearningandlanguagemodelsforpri,10.1038/s41591-024-03139-8,False
Harnessing ChatGPT and GPT-4 for evaluating the rheumatology questions of the Spanish access exam to specialized medical training,2023,medRxiv,63,,10.1101/2023.07.21.23292821,"Alfredo Madrid-García, Z. Rosales-Rosado, Dalifer Freites-Núñez et al.",S2b,,10.1101/2023.07.21.23292821,harnessingchatgptandgpt4forevaluatingtherheumatologyque,10.1101/2023.07.21.23292821,False
Uncovering the semantics of concepts using GPT-4,2023,Proceedings of the National Academy of Sciences,63,,10.1073/pnas.2309350120,"Gaël Le Mens, Balázs Kovács, Michael Hannan et al.",OA,,10.1073/pnas.2309350120,uncoveringthesemanticsofconceptsusinggpt4,10.1073/pnas.2309350120,False
Generating Automatic Feedback on UI Mockups with Large Language Models,2024,,61,2403.13139,10.1145/3613904.3642782,"Peitong Duan, Jeremy Warner, Yang Li et al.",OA,2403.13139,10.1145/3613904.3642782,generatingautomaticfeedbackonuimockupswithlargelanguage,2403.13139,False
From Humans to Machines: Can ChatGPT-like LLMs Effectively Replace Human Annotators in NLP Tasks?,2023,,47,,,"Surendrabikram Thapa, Usman Naseem, Mehwish Nasim",S2b,,,fromhumanstomachinescanchatgptlikellmseffectivelyreplac,fromhumanstomachinescanchatgptlikellmseffectivelyreplac,False
Performance of ChatGPT in Diagnosis of Corneal Eye Diseases,2023,medRxiv,44,,10.1101/2023.08.25.23294635,"Mohammad Delsoz, Y. Madadi, Wuqaas M. Munir et al.",S2b,,10.1101/2023.08.25.23294635,performanceofchatgptindiagnosisofcornealeyediseases,10.1101/2023.08.25.23294635,False
Humans or LLMs as the Judge? A Study on Judgement Bias,2024,,38,,10.18653/v1/2024.emnlp-main.474,"Guiming Hardy Chen, Shunian Chen, Ziche Liu et al.",OA,,10.18653/v1/2024.emnlp-main.474,humansorllmsasthejudgeastudyonjudgementbias,10.18653/v1/2024.emnlp-main.474,False
BeaverTails: Towards Improved Safety Alignment of LLM via a Human-Preference Dataset,2023,arXiv (Cornell University),34,2307.04657,10.48550/arxiv.2307.04657,"Jiaming Ji, Mickel Liu, Juntao Dai et al.",OA,2307.04657,10.48550/arxiv.2307.04657,beavertailstowardsimprovedsafetyalignmentofllmviaahuman,2307.04657,False
LLMs can be Fooled into Labelling a Document as Relevant: best café near me; this paper is perfectly relevant,2024,,29,,10.1145/3673791.3698431,"Marwah Alaofi, Paul Thomas, Falk Scholer et al.",OA,,10.1145/3673791.3698431,llmscanbefooledintolabellingadocumentasrelevantbestcafn,10.1145/3673791.3698431,False
Advancing Spatial Reasoning in Large Language Models: An In-Depth Evaluation and Enhancement Using the StepGame Benchmark,2024,Proceedings of the AAAI Conference on Artificial Intelligence,22,,10.1609/aaai.v38i17.29811,"Fangjun Li, David Hogg, Anthony G. Cohn",OA,,10.1609/aaai.v38i17.29811,advancingspatialreasoninginlargelanguagemodelsanindepth,10.1609/aaai.v38i17.29811,False
Ethical Concerns About ChatGPT in Healthcare: A Useful Tool or the Tombstone of Original and Reflective Thinking?,2024,Cureus,21,,10.7759/cureus.54759,"Marina Z Kapsali, Efstratios Livanis, C. Tsalikidis et al.",S2b,,10.7759/cureus.54759,ethicalconcernsaboutchatgptinhealthcareausefultoolorthe,10.7759/cureus.54759,False
AI Benchmark Half-Life in Recursive Corpora: A Theory of Validity Decay under Semantic Leakage and Regeneration,2024,arXiv (Cornell University),18,2406.19314,10.48550/arxiv.2406.19314,"Colin White, Samuel Dooley, Manley Roberts et al.",OA,2406.19314,10.48550/arxiv.2406.19314,aibenchmarkhalflifeinrecursivecorporaatheoryofvalidityd,2406.19314,False
TEaR: Improving LLM-based Machine Translation with Systematic Self-Refinement,2025,,18,,10.18653/v1/2025.findings-naacl.218,"Zhaopeng Feng, Yan Zhang, Hao Li et al.",OA,,10.18653/v1/2025.findings-naacl.218,tearimprovingllmbasedmachinetranslationwithsystematicse,10.18653/v1/2025.findings-naacl.218,False
How to Use Large Language Models for Empirical Legal Research,2024,Journal of Institutional and Theoretical Economics JITE,18,,10.1628/jite-2024-0006,Jonathan H. Choi,OA,,10.1628/jite-2024-0006,howtouselargelanguagemodelsforempiricallegalresearch,10.1628/jite-2024-0006,False
Closing the Loop: Testing ChatGPT to Generate Model Explanations to Improve Human Labelling of Sponsored Content on Social Media,2023,arXiv.org,16,2306.05115,10.48550/arXiv.2306.05115,"Thales Bertaglia, Stefan Huber, Catalina Goanta et al.",S2b,2306.05115,10.48550/arxiv.2306.05115,closingthelooptestingchatgpttogeneratemodelexplanations,2306.05115,False
Classification performance and reproducibility of GPT-4 omni for information extraction from veterinary electronic health records,2025,Frontiers in Veterinary Science,13,,10.3389/fvets.2024.1490030,"Judit M. Wulcan, Kevin L Jacques, Mary Ann Lee et al.",OA,,10.3389/fvets.2024.1490030,classificationperformanceandreproducibilityofgpt4omnifo,10.3389/fvets.2024.1490030,False
Consumer Responses to Generative AI Chatbots Versus Search Engines for Product Evaluation,2025,Journal of theoretical and applied electronic commerce research,13,,10.3390/jtaer20020093,"Soyoung Kim, Randi Priluck",OA,,10.3390/jtaer20020093,consumerresponsestogenerativeaichatbotsversussearchengi,10.3390/jtaer20020093,False
