openalex_id,title,year,venue,cited_by,type,arxiv,doi,authors,abstract,topical,already
W4384662964,ChatGPT outperforms crowd workers for text-annotation tasks,2023,Proceedings of the National Academy of Sciences,898,article,,10.1073/pnas.2305016120,"Fabrizio Gilardi, Meysam Alizadeh, Maël Kubli","Many NLP applications require manual text annotations for a variety of tasks, notably to train classifiers or evaluate the performance of unsupervised models. Depending on the size and degree of complexity, the tasks may be conducted by crowd workers on platforms such as MTurk as well as trained annotators, such as research assistants. Using four samples of tweets and news articles ( n = 6,183), we show that ChatGPT outperforms crowd workers for several annotation tasks, including relevance, stance, topics, and frame detection. Across the four datasets, the zero-shot accuracy of ChatGPT exceed",True,False
W4389519254,G-Eval: NLG Evaluation using Gpt-4 with Better Human Alignment,2023,,560,article,,10.18653/v1/2023.emnlp-main.153,"Yang Liu, Dan Iter, Xu Yi‐chong et al.","The quality of texts generated by natural language generation (NLG) systems is hard to measure automatically. Conventional reference-based metrics, such as BLEU and ROUGE, have been shown to have relatively low correlation with human judgments, especially for tasks that require creativity and diversity. Recent studies suggest using large language models (LLMs) as reference-free metrics for NLG evaluation, which have the benefit of being applicable to new tasks that lack human references. However, these LLM-based evaluators still have lower human correspondence than medium-size neural evaluator",True,False
W4313294616,"Comparing scientific abstracts generated by ChatGPT to original abstracts using an artificial intelligence output detector, plagiarism detector, and blinded human reviewers",2022,bioRxiv (Cold Spring Harbor Laboratory),412,preprint,,10.1101/2022.12.23.521610,"Catherine A. Gao, Frederick M. Howard, Nikolay S. Markov et al.","Abstract Background Large language models such as ChatGPT can produce increasingly realistic text, with unknown information on the accuracy and integrity of using these models in scientific writing. Methods We gathered ten research abstracts from five high impact factor medical journals (n=50) and asked ChatGPT to generate research abstracts based on their titles and journals. We evaluated the abstracts using an artificial intelligence (AI) output detector, plagiarism detector, and had blinded human reviewers try to distinguish whether abstracts were original or generated. Results All ChatGPT-",True,False
W4386045865,Assessing the Utility of ChatGPT Throughout the Entire Clinical Workflow: Development and Usability Study,2023,Journal of Medical Internet Research,385,article,,10.2196/48659,"Arya Rao, Michael Pang, John Kim et al.","BACKGROUND: Large language model (LLM)-based artificial intelligence chatbots direct the power of large training data sets toward successive, related tasks as opposed to single-ask tasks, for which artificial intelligence already achieves impressive performance. The capacity of LLMs to assist in the full scope of iterative clinical reasoning via successive prompting, in effect acting as artificial physicians, has not yet been evaluated. OBJECTIVE: This study aimed to evaluate ChatGPT's capacity for ongoing clinical decision support via its performance on standardized clinical vignettes. METHOD",True,False
W4386120650,Evaluating large language models on medical evidence summarization,2023,npj Digital Medicine,357,article,,10.1038/s41746-023-00896-7,"Liyan Tang, Zhaoyi Sun, Betina Idnay et al.","Recent advances in large language models (LLMs) have demonstrated remarkable successes in zero- and few-shot performance on various downstream tasks, paving the way for applications in high-stakes domains. In this study, we systematically examine the capabilities and limitations of LLMs, specifically GPT-3.5 and ChatGPT, in performing zero-shot medical evidence summarization across six clinical domains. We conduct both automatic and human evaluations, covering several dimensions of summary quality. Our study demonstrates that automatic metrics often do not strongly correlate with the quality o",True,False
W4391494845,Benchmarking Large Language Models for News Summarization,2024,Transactions of the Association for Computational Linguistics,306,article,,10.1162/tacl_a_00632,"Tianyi Zhang, Faisal Ladhak, Esin Durmus et al.","Abstract Large language models (LLMs) have shown promise for automatic summarization but the reasons behind their successes are poorly understood. By conducting a human evaluation on ten LLMs across different pretraining methods, prompts, and model scales, we make two important observations. First, we find instruction tuning, not model size, is the key to the LLM’s zero-shot summarization capability. Second, existing studies have been limited by low-quality references, leading to underestimates of human performance and lower few-shot and finetuning performance. To better evaluate LLMs, we perf",True,False
W4317553041,"How Close is ChatGPT to Human Experts? Comparison Corpus, Evaluation, and Detection",2023,arXiv (Cornell University),292,preprint,2301.07597,10.48550/arxiv.2301.07597,"Biyang Guo, Xin Zhang, Ziyuan Wang et al.","The introduction of ChatGPT has garnered widespread attention in both academic and industrial communities. ChatGPT is able to respond effectively to a wide range of human questions, providing fluent and comprehensive answers that significantly surpass previous public chatbots in terms of security and usefulness. On one hand, people are curious about how ChatGPT is able to achieve such strength and how far it is from human experts. On the other hand, people are starting to worry about the potential negative impacts that large language models (LLMs) like ChatGPT could have on society, such as fa",True,False
W4393397034,Large language models could change the future of behavioral healthcare: a proposal for responsible development and evaluation,2024,npj Mental Health Research,265,article,,10.1038/s44184-024-00056-z,"Elizabeth Cameron Stade, Shannon Wiltsey Stirman, Lyle Ungar et al.","Large language models (LLMs) such as Open AI's GPT-4 (which power ChatGPT) and Google's Gemini, built on artificial intelligence, hold immense potential to support, augment, or even eventually automate psychotherapy. Enthusiasm about such applications is mounting in the field as well as industry. These developments promise to address insufficient mental healthcare system capacity and scale individual access to personalized treatments. However, clinical psychology is an uncommonly high stakes application domain for AI systems, as responsible and evidence-based therapy requires nuanced expertise",True,False
W4366549000,Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,2023,,232,article,,10.1145/3544548.3580688,"Perttu Hämäläinen, Mikke Tavast, Anton Kunnari","Collecting data is one of the bottlenecks of Human-Computer Interaction (HCI) research. Motivated by this, we explore the potential of large language models (LLMs) in generating synthetic user research data. We use OpenAI’s GPT-3 model to generate open-ended questionnaire responses about experiencing video games as art, a topic not tractable with traditional computational user models. We test whether synthetic responses can be distinguished from real responses, analyze errors of synthetic data, and investigate content similarities between synthetic and real data. We conclude that GPT-3 can, in",True,False
W4389519239,Is ChatGPT a Good NLG Evaluator? A Preliminary Study,2023,,217,article,,10.18653/v1/2023.newsum-1.1,"Jiaan Wang, Yunlong Liang, Fandong Meng et al.","Recently, the emergence of ChatGPT has attracted wide attention from the computational linguistics community. Many prior studies have shown that ChatGPT achieves remarkable performance on various NLP tasks in terms of automatic evaluation metrics. However, the ability of ChatGPT to serve as an evaluation metric is still underexplored. Considering assessing the quality of natural language generation (NLG) models is an arduous task and NLG metrics notoriously show their poor correlation with human judgments, we wonder whether ChatGPT is a good NLG evaluation metric. In this report, we provide a ",True,False
