paperId,title,year,venue,cited_by,arxiv,doi,ptypes,authors,abstract,topical,in_corpus,in_openalex
82e440220e29d6c2c5866f9cb40e522ca0c8a22d,Human-like Summarization Evaluation with ChatGPT,2023,arXiv.org,185,2304.02554,10.48550/arXiv.2304.02554,JournalArticle,"Mingqi Gao, Jie Ruan, Renliang Sun et al.","Evaluating text summarization is a challenging problem, and existing evaluation metrics are far from satisfactory. In this study, we explored ChatGPT's ability to perform human-like summarization evaluation using four human evaluation methods on five datasets. We found that ChatGPT was able to complete annotations relatively smoothly using Likert scale scoring, pairwise comparison, Pyramid, and binary factuality evaluation. Additionally, it outperformed commonly used automatic evaluation metrics on some datasets. Furthermore, we discussed the impact of different prompts, compared its performan",True,False,False
2a74fc66beea8bce542581560ca6ec5a0e1bb024,CoAnnotating: Uncertainty-Guided Work Allocation between Human and Large Language Models for Data Annotation,2023,Conference on Empirical Methods in Natural Language Processing,130,2310.15638,10.18653/v1/2023.emnlp-main.92,JournalArticle;Conference,"Minzhi Li, Taiwei Shi, Caleb Ziems et al.","Annotated data plays a critical role in Natural Language Processing (NLP) in training models and evaluating their performance. Given recent developments in Large Language Models (LLMs), models such as ChatGPT demonstrate zero-shot capability on many text-annotation tasks, comparable with or even exceeding human annotators. Such LLMs can serve as alternatives for manual annotation, due to lower costs and higher scalability. However, limited work has leveraged LLMs as complementary annotators, nor explored how annotation work is best allocated among humans and LLMs to achieve both quality and co",True,False,False
039f82bdfac8aef61f64c3dfa4dc54ac75e418b2,ChatGPT as a Factual Inconsistency Evaluator for Text Summarization,2023,,109,2303.15621,,,"Zheheng Luo, Qianqian Xie, S. Ananiadou","The performance of text summarization has been greatly boosted by pre-trained language models. A main concern of existing methods is that most generated summaries are not factually inconsistent with their source documents. To alleviate the problem, many efforts have focused on developing effective factuality evaluation metrics based on natural language inference, question answering, and syntactic dependency et al. However, these approaches are limited by either their high computational complexity or the uncertainty introduced by multi-component pipelines, resulting in only partial agreement wi",True,False,
29fed0dcbf101c36ae1a79a7cb8224c06e16f916,ChatGPT Label: Comparing the Quality of Human-Generated and LLM-Generated Annotations in Low-Resource Language NLP Tasks,2024,IEEE Access,99,,10.1109/ACCESS.2024.3402809,JournalArticle,"A. Nasution, Aytuğ Onan","This research paper presents a comprehensive comparative study assessing the quality of annotations in Turkish, Indonesian, and Minangkabau Natural Language Processing (NLP) tasks, with a specific focus on the contrast between annotations generated by human annotators and those produced by Large Language Models (LLMs). In the context of NLP, high-quality annotations play a pivotal role in training and evaluating machine-learning models. The study encompasses three core NLP tasks: topic classification, tweet sentiment analysis, and emotion classification, each reflecting a distinct aspect of te",True,False,False
375c3264a52e768ffb59229c66b378161c4ba8fd,Harnessing ChatGPT and GPT-4 for evaluating the rheumatology questions of the Spanish access exam to specialized medical training,2023,medRxiv,63,,10.1101/2023.07.21.23292821,JournalArticle,"Alfredo Madrid-García, Z. Rosales-Rosado, Dalifer Freites-Núñez et al.","The emergence of large language models (LLM) with remarkable performance such as ChatGPT and GPT-4, has led to an unprecedented uptake in the population. One of their most promising and studied applications concerns education due to their ability to understand and generate human-like text, creating a multitude of opportunities for enhancing educational practices and outcomes. The objective of this study is twofold: to assess the accuracy of ChatGPT/GPT-4 in answering rheumatology questions from the access exam to specialized medical training in Spain (MIR), and to evaluate the medical reasonin",True,False,False
9615f994706dda2bcf4ddd7e0b02155edd8ec409,From Humans to Machines: Can ChatGPT-like LLMs Effectively Replace Human Annotators in NLP Tasks?,2023,,47,,,,"Surendrabikram Thapa, Usman Naseem, Mehwish Nasim",,True,False,
0e360fae7dc4ae3691ecd1c0e3568a2ae490ba92,Performance of ChatGPT in Diagnosis of Corneal Eye Diseases,2023,medRxiv,44,,10.1101/2023.08.25.23294635,,"Mohammad Delsoz, Y. Madadi, Wuqaas M. Munir et al.","ABSTRACT Introduction: Assessing the capabilities of ChatGPT-4.0 and ChatGPT-3.5 for diagnosing corneal eye diseases based on case reports and compare with human experts. Methods: We randomly selected 20 cases of corneal diseases including corneal infections, dystrophies, degenerations, and injuries from a publicly accessible online database from the University of Iowa. We then input the text of each case description into ChatGPT-4.0 and ChatGPT3.5 and asked for a provisional diagnosis. We finally evaluated the responses based on the correct diagnoses then compared with the diagnoses of three ",True,False,False
948b8103635832f91a348632ec88b03f177a928c,Performance of ChatGPT in Diagnosis of Corneal Eye Diseases,2024,Cornea,30,,10.1097/ICO.0000000000003492,JournalArticle,"Mohmmad Delsoz, Y. Madadi, Hina Raja et al.","Purpose: The aim of this study was to assess the capabilities of ChatGPT-4.0 and ChatGPT-3.5 for diagnosing corneal eye diseases based on case reports and compare with human experts. Methods: We randomly selected 20 cases of corneal diseases including corneal infections, dystrophies, and degenerations from a publicly accessible online database from the University of Iowa. We then input the text of each case description into ChatGPT-4.0 and ChatGPT-3.5 and asked for a provisional diagnosis. We finally evaluated the responses based on the correct diagnoses, compared them with the diagnoses made ",True,False,False
b3f1706e81a91fd4ae4478653d4c7ec4fb7542ca,ChatGPT vs. Human Annotators: A Comprehensive Analysis of ChatGPT for Text Annotation,2023,International Conference on Machine Learning and Applications,29,,10.1109/ICMLA58977.2023.00089,JournalArticle;Conference,"Mohammed Aldeen, Joshua Luo, Ashley Lian et al.","In recent years, the field of Natural Language Processing (NLP) has witnessed a groundbreaking transformation with the emergence of large language models (LLMs). ChatGPT stands out as an example among these LLM models captivating considerable public interest due to its impressive language generation capabilities. Researchers have been exploring the potential of using ChatGPT for data annotation tasks, aiming to discover more timesaving and cost-effective approaches. In this paper, we present a comprehensive evaluation of ChatGPT's data annotation capabilities across ten diverse datasets coveri",True,False,False
4c6646b9a73ac6876b8efc388f7d7308ba9fe46a,Automated Assessment of Encouragement and Warmth in Classrooms Leveraging Multimodal Emotional Features and ChatGPT,2024,International Conference on Artificial Intelligence in Education,26,2404.15310,10.1007/978-3-031-64302-6_5,JournalArticle;Conference,"Ruikun Hou, Tim Fütterer, B. Bühler et al.","Classroom observation protocols standardize the assessment of teaching effectiveness and facilitate comprehension of classroom interactions. Whereas these protocols offer teachers specific feedback on their teaching practices, the manual coding by human raters is resource-intensive and often unreliable. This has sparked interest in developing AI-driven, cost-effective methods for automating such holistic coding. Our work explores a multimodal approach to automatically estimating encouragement and warmth in classrooms, a key component of the Global Teaching Insights (GTI) study's observation pr",True,False,False
