title,year,venue,cited_by,type,arxiv,doi,authors,abstract,topical
A survey on large language model based autonomous agents,2024,Frontiers of Computer Science,1083,article,,10.1007/s11704-024-40231-1,"Lei Wang, Chen Ma, Xueyang Feng et al.","Abstract Autonomous agents have long been a research focus in academic and industry communities. Previous research often focuses on training agents with limited knowledge within isolated environments, which diverges significantly from human learning processes, and makes the agents hard to achieve human-like decisions. Recently, through the acquisition of vast amounts of Web knowledge, large language models (LLMs) have shown potential in human-level intelligence, leading to a surge in research on",True
ChatGPT outperforms crowd workers for text-annotation tasks,2023,Proceedings of the National Academy of Sciences,900,article,,10.1073/pnas.2305016120,"Fabrizio Gilardi, Meysam Alizadeh, Maël Kubli","Many NLP applications require manual text annotations for a variety of tasks, notably to train classifiers or evaluate the performance of unsupervised models. Depending on the size and degree of complexity, the tasks may be conducted by crowd workers on platforms such as MTurk as well as trained annotators, such as research assistants. Using four samples of tweets and news articles ( n = 6,183), we show that ChatGPT outperforms crowd workers for several annotation tasks, including relevance, sta",True
The AI generation gap: Are Gen Z students more interested in adopting generative AI such as ChatGPT in teaching and learning than their Gen X and millennial generation teachers?,2023,Smart Learning Environments,500,article,,10.1186/s40561-023-00269-3,"Cecilia Ka Yuk Chan, Katherine K. W. Lee","Abstract This study aimed to explore the experiences, perceptions, knowledge, concerns, and intentions of Generation Z (Gen Z) students with Generation X (Gen X) and Generation Y (Gen Y) teachers regarding the use of generative AI (GenAI) in higher education. A sample of students and teachers were recruited to investigate the above using a survey consisting of both open and closed questions. The findings showed that Gen Z participants were generally optimistic about the potential benefits of Gen",True
"A Survey on ChatGPT: AI–Generated Contents, Challenges, and Solutions",2023,IEEE Open Journal of the Computer Society,318,article,,10.1109/ojcs.2023.3300321,"Yuntao Wang, Yanghe Pan, Miao Yan et al.","With the widespread use of large artificial intelligence (AI) models such as ChatGPT, AI-generated content (AIGC) has garnered increasing attention and is leading a paradigm shift in content creation and knowledge representation. AIGC uses generative large AI algorithms to assist or replace humans in creating massive, high-quality, and human-like content at a faster pace and lower cost, based on user-provided prompts. Despite the recent significant progress in AIGC, security, privacy, ethical, a",True
The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,2025,,281,article,,10.1145/3706598.3713778,"Hao-Ping Lee, Advait Sarkar, Lev Tankelevitch et al.","The rise of Generative AI (GenAI) in knowledge workflows raises questions about its impact on critical thinking skills and practices.We survey 319 knowledge workers to investigate 1) when and how they perceive the enaction of critical thinking when using GenAI, and 2) when and why GenAI affects their effort to do so.Participants shared 936 first-hand examples of using GenAI in work tasks.Quantitatively, when considering both task-and user-specific factors, a user's task-specific self-confidence ",True
The Rise and Potential of Large Language Model Based Agents: A Survey,2023,arXiv (Cornell University),250,preprint,2309.07864,10.48550/arxiv.2309.07864,"Zhiheng Xi, Wen-Xiang Chen, Xin Guo et al.","For a long time, humanity has pursued artificial intelligence (AI) equivalent to or surpassing the human level, with AI agents considered a promising vehicle for this pursuit. AI agents are artificial entities that sense their environment, make decisions, and take actions. Many efforts have been made to develop intelligent agents, but they mainly focus on advancement in algorithms or training strategies to enhance specific capabilities or performance on particular tasks. Actually, what the commu",True
"A comprehensive survey of ChatGPT: Advancements, applications, prospects, and challenges",2023,Meta-Radiology,234,article,,10.1016/j.metrad.2023.100022,"Anam Nazir, Ze Wang","Large Language Models (LLMs) especially when combined with Generative Pre-trained Transformers (GPT) represent a groundbreaking in natural language processing. In particular, ChatGPT, a state-of-the-art conversational language model with a user-friendly interface, has garnered substantial attention owing to its remarkable capability for generating human-like responses across a variety of conversational scenarios. This survey offers an overview of ChatGPT, delving into its inception, evolution, a",True
A multinational study on the factors influencing university students’ attitudes and usage of ChatGPT,2024,Scientific Reports,231,article,,10.1038/s41598-024-52549-8,"Maram Abdaljaleel, Muna Barakat, Mariam Alsanafi et al.","Artificial intelligence models, like ChatGPT, have the potential to revolutionize higher education when implemented properly. This study aimed to investigate the factors influencing university students' attitudes and usage of ChatGPT in Arab countries. The survey instrument ""TAME-ChatGPT"" was administered to 2240 participants from Iraq, Kuwait, Egypt, Lebanon, and Jordan. Of those, 46.8% heard of ChatGPT, and 52.6% used it before the study. The results indicated that a positive attitude and usag",True
Co-Writing with Opinionated Language Models Affects Users’ Views,2023,,227,preprint,2302.00560,10.1145/3544548.3581196,"Maurice Jakesch, Advait Bhat, Daniel Buschek et al.","If large language models like GPT-3 preferably produce a particular point of view, they may influence people’s opinions on an unknown scale. This study investigates whether a language-model-powered writing assistant that generates some opinions more often than others impacts what users write – and what they think. In an online experiment, we asked participants (N=1,506) to write a post discussing whether social media is good for society. Treatment group participants used a language-model-powered",True
HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,2023,,227,article,,10.18653/v1/2023.emnlp-main.397,"Junyi Li, Xiaoxue Cheng, Xin Zhao et al.","Large language models (LLMs), such as ChatGPT, are prone to generate hallucinations, i.e., content that conflicts with the source or cannot be verified by the factual knowledge. To understand what types of content and to which extent LLMs are apt to hallucinate, we introduce the Hallucination Evaluation for Large Language Models (HaluEval) benchmark, a large collection of generated and human-annotated hallucinated samples for evaluating the performance of LLMs in recognizing hallucination. To ge",True
